,FECHA_TRANSACCION,DISPOSITIVO,HORA,DIFERENCIA
0,2024-04-15,10000546,16:00:04,4.0
1,2024-04-15,10000546,16:00:08,4.0
2,2024-04-15,10000546,16:00:12,4.0
3,2024-04-15,10000546,16:00:22,10.0
4,2024-04-15,10000546,16:00:28,6.0
5,2024-04-15,10000546,16:00:31,3.0
6,2024-04-15,10000546,16:00:36,5.0
7,2024-04-15,10000546,16:01:01,25.0
8,2024-04-15,10000546,16:01:08,7.0
9,2024-04-15,10000546,16:01:14,6.0
10,2024-04-15,10000546,16:01:18,4.0
11,2024-04-15,10000546,16:01:26,8.0
12,2024-04-15,10000546,16:01:32,6.0
13,2024-04-15,10000546,16:01:37,5.0
14,2024-04-15,10000546,16:01:52,15.0
15,2024-04-15,10000546,16:01:56,4.0
16,2024-04-15,10000546,16:02:06,10.0
17,2024-04-15,10000546,16:02:12,6.0
18,2024-04-15,10000546,16:02:19,7.0
19,2024-04-15,10000546,16:02:23,4.0
20,2024-04-15,10000546,16:02:35,12.0
21,2024-04-15,10000546,16:02:39,4.0
22,2024-04-15,10000546,16:02:43,4.0
23,2024-04-15,10000546,16:02:54,11.0
24,2024-04-15,10000546,16:03:02,8.0
25,2024-04-15,10000546,16:03:26,24.0
26,2024-04-15,10000546,16:03:30,4.0
27,2024-04-15,10000546,16:03:37,7.0
28,2024-04-15,10000546,16:03:44,7.0
29,2024-04-15,10000546,16:03:51,7.0
30,2024-04-15,10000546,16:03:55,4.0
31,2024-04-15,10000546,16:04:00,5.0
32,2024-04-15,10000546,16:04:04,4.0
33,2024-04-15,10000546,16:04:10,6.0
34,2024-04-15,10000546,16:04:34,24.0
35,2024-04-15,10000546,16:04:47,13.0
36,2024-04-15,10000546,16:04:57,10.0
37,2024-04-15,10000546,16:05:25,28.0
38,2024-04-15,10000546,16:05:34,9.0
39,2024-04-15,10000546,16:05:38,4.0
40,2024-04-15,10000546,16:06:41,63.0
41,2024-04-15,10000546,16:06:45,4.0
42,2024-04-15,10000546,16:06:50,5.0
43,2024-04-15,10000546,16:06:58,8.0
44,2024-04-15,10000546,16:07:05,7.0
45,2024-04-15,10000546,16:07:12,7.0
46,2024-04-15,10000546,16:07:28,16.0
47,2024-04-15,10000546,16:07:36,8.0
48,2024-04-15,10000546,16:07:47,11.0
49,2024-04-15,10000546,16:07:55,8.0
50,2024-04-15,10000546,16:08:00,5.0
51,2024-04-15,10000546,16:08:09,9.0
52,2024-04-15,10000546,16:08:13,4.0
53,2024-04-15,10000546,16:08:17,4.0
54,2024-04-15,10000546,16:08:21,4.0
55,2024-04-15,10000546,16:08:25,4.0
56,2024-04-15,10000546,16:08:29,4.0
57,2024-04-15,10000546,16:08:34,5.0
58,2024-04-15,10000546,16:08:37,3.0
59,2024-04-15,10000546,16:08:47,10.0
60,2024-04-15,10000546,16:08:51,4.0
61,2024-04-15,10000546,16:09:12,21.0
62,2024-04-15,10000546,16:09:15,3.0
63,2024-04-15,10000546,16:09:32,17.0
64,2024-04-15,10000546,16:09:37,5.0
65,2024-04-15,10000546,16:09:41,4.0
66,2024-04-15,10000546,16:09:45,4.0
67,2024-04-15,10000546,16:09:53,8.0
68,2024-04-15,10000546,16:10:03,10.0
69,2024-04-15,10000546,16:10:07,4.0
70,2024-04-15,10000546,16:10:12,5.0
71,2024-04-15,10000546,16:10:32,20.0
72,2024-04-15,10000546,16:10:36,4.0
73,2024-04-15,10000546,16:10:39,3.0
74,2024-04-15,10000546,16:10:45,6.0
75,2024-04-15,10000546,16:11:11,26.0
76,2024-04-15,10000546,16:11:15,4.0
77,2024-04-15,10000546,16:11:19,4.0
78,2024-04-15,10000546,16:11:23,4.0
79,2024-04-15,10000546,16:11:27,4.0
80,2024-04-15,10000546,16:11:33,6.0
81,2024-04-15,10000546,16:11:36,3.0
82,2024-04-15,10000546,16:11:41,5.0
83,2024-04-15,10000546,16:11:45,4.0
84,2024-04-15,10000546,16:11:49,4.0
85,2024-04-15,10000546,16:11:54,5.0
86,2024-04-15,10000546,16:11:58,4.0
87,2024-04-15,10000546,16:12:18,20.0
88,2024-04-15,10000546,16:12:22,4.0
89,2024-04-15,10000546,16:12:30,8.0
90,2024-04-15,10000546,16:12:34,4.0
91,2024-04-15,10000546,16:12:37,3.0
92,2024-04-15,10000546,16:12:46,9.0
93,2024-04-15,10000546,16:12:52,6.0
94,2024-04-15,10000546,16:12:57,5.0
95,2024-04-15,10000546,16:13:11,14.0
96,2024-04-15,10000546,16:13:14,3.0
97,2024-04-15,10000546,16:13:19,5.0
98,2024-04-15,10000546,16:13:26,7.0
99,2024-04-15,10000546,16:13:33,7.0
100,2024-04-15,10000546,16:13:48,15.0
101,2024-04-15,10000546,16:14:00,12.0
102,2024-04-15,10000546,16:14:07,7.0
103,2024-04-15,10000546,16:14:14,7.0
104,2024-04-15,10000546,16:14:25,11.0
105,2024-04-15,10000546,16:14:28,3.0
106,2024-04-15,10000546,16:14:33,5.0
107,2024-04-15,10000546,16:14:39,6.0
108,2024-04-15,10000546,16:14:44,5.0
109,2024-04-15,10000546,16:14:47,3.0
110,2024-04-15,10000546,16:14:55,8.0
111,2024-04-15,10000546,16:14:58,3.0
112,2024-04-15,10000546,16:15:11,13.0
113,2024-04-15,10000546,16:15:14,3.0
114,2024-04-15,10000546,16:15:37,23.0
115,2024-04-15,10000546,16:15:44,7.0
116,2024-04-15,10000546,16:15:49,5.0
117,2024-04-15,10000546,16:16:07,18.0
118,2024-04-15,10000546,16:16:11,4.0
119,2024-04-15,10000546,16:16:15,4.0
120,2024-04-15,10000546,16:16:19,4.0
121,2024-04-15,10000546,16:16:25,6.0
122,2024-04-15,10000546,16:16:30,5.0
123,2024-04-15,10000546,16:16:35,5.0
124,2024-04-15,10000546,16:16:49,14.0
125,2024-04-15,10000546,16:16:53,4.0
126,2024-04-15,10000546,16:16:57,4.0
127,2024-04-15,10000546,16:17:01,4.0
128,2024-04-15,10000546,16:17:04,3.0
129,2024-04-15,10000546,16:17:09,5.0
130,2024-04-15,10000546,16:17:13,4.0
131,2024-04-15,10000546,16:17:16,3.0
132,2024-04-15,10000546,16:17:21,5.0
133,2024-04-15,10000546,16:17:24,3.0
134,2024-04-15,10000546,16:17:34,10.0
135,2024-04-15,10000546,16:17:46,12.0
136,2024-04-15,10000546,16:17:50,4.0
137,2024-04-15,10000546,16:17:55,5.0
138,2024-04-15,10000546,16:17:59,4.0
139,2024-04-15,10000546,16:18:07,8.0
140,2024-04-15,10000546,16:18:13,6.0
141,2024-04-15,10000546,16:18:17,4.0
142,2024-04-15,10000546,16:18:27,10.0
143,2024-04-15,10000546,16:18:31,4.0
144,2024-04-15,10000546,16:18:35,4.0
145,2024-04-15,10000546,16:18:41,6.0
146,2024-04-15,10000546,16:18:44,3.0
147,2024-04-15,10000546,16:18:49,5.0
148,2024-04-15,10000546,16:18:54,5.0
149,2024-04-15,10000546,16:18:57,3.0
150,2024-04-15,10000546,16:19:02,5.0
151,2024-04-15,10000546,16:19:10,8.0
152,2024-04-15,10000546,16:19:29,19.0
153,2024-04-15,10000546,16:19:38,9.0
154,2024-04-15,10000546,16:19:41,3.0
155,2024-04-15,10000546,16:19:45,4.0
156,2024-04-15,10000546,16:19:48,3.0
157,2024-04-15,10000546,16:19:57,9.0
158,2024-04-15,10000546,16:20:09,12.0
159,2024-04-15,10000546,16:20:13,4.0
160,2024-04-15,10000546,16:20:17,4.0
161,2024-04-15,10000546,16:20:20,3.0
162,2024-04-15,10000546,16:20:24,4.0
163,2024-04-15,10000546,16:20:32,8.0
164,2024-04-15,10000546,16:20:40,8.0
165,2024-04-15,10000546,16:20:45,5.0
166,2024-04-15,10000546,16:20:53,8.0
167,2024-04-15,10000546,16:21:05,12.0
168,2024-04-15,10000546,16:21:31,26.0
169,2024-04-15,10000546,16:21:44,13.0
170,2024-04-15,10000546,16:21:49,5.0
171,2024-04-15,10000546,16:21:53,4.0
172,2024-04-15,10000546,16:21:57,4.0
173,2024-04-15,10000546,16:22:01,4.0
174,2024-04-15,10000546,16:22:05,4.0
175,2024-04-15,10000546,16:22:08,3.0
176,2024-04-15,10000546,16:22:12,4.0
177,2024-04-15,10000546,16:22:15,3.0
178,2024-04-15,10000546,16:22:20,5.0
179,2024-04-15,10000546,16:22:31,11.0
180,2024-04-15,10000546,16:22:35,4.0
181,2024-04-15,10000546,16:22:40,5.0
182,2024-04-15,10000546,16:22:44,4.0
183,2024-04-15,10000546,16:22:47,3.0
184,2024-04-15,10000546,16:22:55,8.0
185,2024-04-15,10000546,16:23:11,16.0
186,2024-04-15,10000546,16:23:15,4.0
187,2024-04-15,10000546,16:23:20,5.0
188,2024-04-15,10000546,16:23:30,10.0
189,2024-04-15,10000546,16:23:33,3.0
190,2024-04-15,10000546,16:23:39,6.0
191,2024-04-15,10000546,16:23:50,11.0
192,2024-04-15,10000546,16:23:55,5.0
193,2024-04-15,10000546,16:24:03,8.0
194,2024-04-15,10000546,16:24:07,4.0
195,2024-04-15,10000546,16:24:11,4.0
196,2024-04-15,10000546,16:24:15,4.0
197,2024-04-15,10000546,16:24:20,5.0
198,2024-04-15,10000546,16:24:23,3.0
199,2024-04-15,10000546,16:24:29,6.0
200,2024-04-15,10000546,16:24:33,4.0
201,2024-04-15,10000546,16:24:40,7.0
202,2024-04-15,10000546,16:24:44,4.0
203,2024-04-15,10000546,16:25:00,16.0
204,2024-04-15,10000546,16:25:06,6.0
205,2024-04-15,10000546,16:25:11,5.0
206,2024-04-15,10000546,16:25:15,4.0
207,2024-04-15,10000546,16:25:19,4.0
208,2024-04-15,10000546,16:25:23,4.0
209,2024-04-15,10000546,16:25:30,7.0
210,2024-04-15,10000546,16:25:34,4.0
211,2024-04-15,10000546,16:25:39,5.0
212,2024-04-15,10000546,16:25:42,3.0
213,2024-04-15,10000546,16:26:08,26.0
214,2024-04-15,10000546,16:26:12,4.0
215,2024-04-15,10000546,16:26:16,4.0
216,2024-04-15,10000546,16:26:20,4.0
217,2024-04-15,10000546,16:26:23,3.0
218,2024-04-15,10000546,16:26:31,8.0
219,2024-04-15,10000546,16:26:35,4.0
220,2024-04-15,10000546,16:26:38,3.0
221,2024-04-15,10000546,16:26:41,3.0
222,2024-04-15,10000546,16:26:46,5.0
223,2024-04-15,10000546,16:26:51,5.0
224,2024-04-15,10000546,16:27:00,9.0
225,2024-04-15,10000546,16:27:15,15.0
226,2024-04-15,10000546,16:27:24,9.0
227,2024-04-15,10000546,16:27:35,11.0
228,2024-04-15,10000546,16:27:39,4.0
229,2024-04-15,10000546,16:27:45,6.0
230,2024-04-15,10000546,16:27:58,13.0
231,2024-04-15,10000546,16:28:02,4.0
232,2024-04-15,10000546,16:28:16,14.0
233,2024-04-15,10000546,16:28:19,3.0
234,2024-04-15,10000546,16:28:25,6.0
235,2024-04-15,10000546,16:28:44,19.0
236,2024-04-15,10000546,16:28:47,3.0
237,2024-04-15,10000546,16:28:56,9.0
238,2024-04-15,10000546,16:29:01,5.0
239,2024-04-15,10000546,16:29:05,4.0
240,2024-04-15,10000546,16:29:11,6.0
241,2024-04-15,10000546,16:29:14,3.0
242,2024-04-15,10000546,16:29:18,4.0
243,2024-04-15,10000546,16:29:21,3.0
244,2024-04-15,10000546,16:29:29,8.0
245,2024-04-15,10000546,16:29:32,3.0
246,2024-04-15,10000546,16:29:37,5.0
247,2024-04-15,10000546,16:30:08,31.0
248,2024-04-15,10000546,16:30:14,6.0
249,2024-04-15,10000546,16:30:18,4.0
250,2024-04-15,10000546,16:30:24,6.0
