,FECHA_TRANSACCION,TIEMPO,DISPOSITIVO,DIFERENCIA
0,2024-04-15,16:15:00,10000546,900.0
1,2024-04-15,16:30:00,10000546,900.0
2,2024-04-15,16:45:00,10000546,900.0
3,2024-04-15,17:00:00,10000546,900.0
4,2024-04-15,17:15:00,10000546,900.0
5,2024-04-15,17:30:00,10000546,900.0
6,2024-04-15,17:45:00,10000546,900.0
7,2024-04-15,18:00:00,10000546,900.0
8,2024-04-15,18:15:00,10000546,900.0
9,2024-04-15,18:30:00,10000546,900.0
10,2024-04-15,16:15:00,10000547,900.0
11,2024-04-15,16:30:00,10000547,900.0
12,2024-04-15,16:45:00,10000547,900.0
13,2024-04-15,17:00:00,10000547,900.0
14,2024-04-15,17:15:00,10000547,900.0
15,2024-04-15,17:30:00,10000547,900.0
16,2024-04-15,17:45:00,10000547,900.0
17,2024-04-15,18:00:00,10000547,900.0
18,2024-04-15,18:15:00,10000547,900.0
19,2024-04-15,18:30:00,10000547,900.0
20,2024-04-15,16:15:00,10000548,900.0
21,2024-04-15,16:30:00,10000548,900.0
22,2024-04-15,16:45:00,10000548,900.0
23,2024-04-15,17:00:00,10000548,900.0
24,2024-04-15,17:15:00,10000548,900.0
25,2024-04-15,17:30:00,10000548,900.0
26,2024-04-15,17:45:00,10000548,900.0
27,2024-04-15,18:00:00,10000548,900.0
28,2024-04-15,18:15:00,10000548,900.0
29,2024-04-15,18:30:00,10000548,900.0
30,2024-04-15,16:15:00,10001648,900.0
31,2024-04-15,16:30:00,10001648,900.0
32,2024-04-15,16:45:00,10001648,900.0
33,2024-04-15,17:00:00,10001648,900.0
34,2024-04-15,17:15:00,10001648,900.0
35,2024-04-15,17:30:00,10001648,900.0
36,2024-04-15,17:45:00,10001648,900.0
37,2024-04-15,18:00:00,10001648,900.0
38,2024-04-15,18:15:00,10001648,900.0
39,2024-04-15,18:30:00,10001648,900.0
40,2024-04-16,16:15:00,10000546,900.0
41,2024-04-16,16:30:00,10000546,900.0
42,2024-04-16,16:45:00,10000546,900.0
43,2024-04-16,17:00:00,10000546,900.0
44,2024-04-16,17:15:00,10000546,900.0
45,2024-04-16,17:30:00,10000546,900.0
46,2024-04-16,17:45:00,10000546,900.0
47,2024-04-16,18:00:00,10000546,900.0
48,2024-04-16,18:15:00,10000546,900.0
49,2024-04-16,18:30:00,10000546,900.0
50,2024-04-16,16:15:00,10000547,900.0
51,2024-04-16,16:30:00,10000547,900.0
52,2024-04-16,16:45:00,10000547,900.0
53,2024-04-16,17:00:00,10000547,900.0
54,2024-04-16,17:15:00,10000547,900.0
55,2024-04-16,17:30:00,10000547,900.0
56,2024-04-16,17:45:00,10000547,900.0
57,2024-04-16,18:00:00,10000547,900.0
58,2024-04-16,18:15:00,10000547,900.0
59,2024-04-16,18:30:00,10000547,900.0
60,2024-04-16,16:15:00,10000548,900.0
61,2024-04-16,16:30:00,10000548,900.0
62,2024-04-16,16:45:00,10000548,900.0
63,2024-04-16,17:00:00,10000548,900.0
64,2024-04-16,17:15:00,10000548,900.0
65,2024-04-16,17:30:00,10000548,900.0
66,2024-04-16,17:45:00,10000548,900.0
